animal_name,type,diet,conservation_status,conservation,habitats,status,diet_type,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,class_number,class_type_class,animal_names
aardvark,savanna,insectivore,least concern,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,,,
antelope,grasslands,herbivore,,near threatened,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,,,
bass,freshwater,carnivore,least concern,,,,,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,,,
bear,,omnivore,vulnerable,,forest,,,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,,,
boar,forest,omnivore,,,,least concern,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,
buffalo,grasslands,,,endangered,,,herbivore,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,,,
calf,domestic,herbivore,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,,,
carp,freshwater,omnivore,least concern,,,,,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,,,
catfish,freshwater,carnivore,,,,,,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,,,
clam,marine,filter feeder,least concern,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,,,
crab,marinecoastal,omnivore,,least concern,,,,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,,,
deer,forest,herbivore,vulnerable,,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,,,
cavy,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,,,
cheetah,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,
chicken,,,,,,,,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,,,
chub,,,,,,,,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,,,
crayfish,,,,,,,,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,,,
crow,,,,,,,,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,,,
dogfish,,,,,,,,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,,,
dolphin,,,,,,,,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,,,
dove,,,,,,,,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,,,
duck,,,,,,,,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,,,
elephant,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,,,
flamingo,,,,,,,,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,,,
flea,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,,,
frog,,,,,,,,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,,,
fruitbat,,,,,,,,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,,,
giraffe,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,,,
girl,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,,,
gnat,,,,,,,,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,,,
goat,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,,,
gorilla,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,,,
gull,,,,,,,,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,,,
haddock,,,,,,,,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,,,
hamster,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,,,
hare,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,,,
hawk,,,,,,,,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,,,
herring,,,,,,,,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,,,
honeybee,,,,,,,,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,,,
housefly,,,,,,,,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,,,
kiwi,,,,,,,,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,,,
ladybird,,,,,,,,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,,,
lark,,,,,,,,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,,,
leopard,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,
lion,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,
lobster,,,,,,,,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,,,
lynx,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,
mink,,,,,,,,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,,,
mole,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,,,
mongoose,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,
moth,,,,,,,,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,,,
newt,,,,,,,,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,,,
octopus,,,,,,,,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,,,
opossum,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,,,
oryx,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,,,
ostrich,,,,,,,,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,,,
parakeet,,,,,,,,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,,,
penguin,,,,,,,,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,,,
pheasant,,,,,,,,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,,,
pike,,,,,,,,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,,,
piranha,,,,,,,,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,,,
pitviper,,,,,,,,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,,,
platypus,,,,,,,,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,,,
polecat,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,
pony,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,,,
porpoise,,,,,,,,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,,,
puma,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,
pussycat,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,,,
raccoon,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,
reindeer,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,,,
rhea,,,,,,,,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,,,
scorpion,,,,,,,,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,,,
seahorse,,,,,,,,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,,,
seal,,,,,,,,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,,,
sealion,,,,,,,,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,,,
seasnake,,,,,,,,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,,,
seawasp,,,,,,,,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,,,
skimmer,,,,,,,,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,,,
skua,,,,,,,,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,,,
slowworm,,,,,,,,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,,,
slug,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,,,
sole,,,,,,,,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,,,
sparrow,,,,,,,,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,,,
squirrel,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,,,
starfish,,,,,,,,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,,,
stingray,,,,,,,,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,,,
swan,,,,,,,,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,,,
termite,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,,,
toad,,,,,,,,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,,,
tortoise,,,,,,,,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,,,
tuatara,,,,,,,,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,,,
tuna,,,,,,,,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,,,
vampire,,,,,,,,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,,,
vole,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,,,
vulture,,,,,,,,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,,,
wallaby,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,,,
wasp,,,,,,,,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,,,
wolf,,,,,,,,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,
worm,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,,,
wren,,,,,,,,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,,,
41,,,,,,,,,,,,,,,,,,,,,,,,Mammal,1,,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
20,,,,,,,,,,,,,,,,,,,,,,,,Bird,2,,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
5,,,,,,,,,,,,,,,,,,,,,,,,Reptile,3,,"pitviper, seasnake, slowworm, tortoise, tuatara"
13,,,,,,,,,,,,,,,,,,,,,,,,Fish,4,,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
4,,,,,,,,,,,,,,,,,,,,,,,,Amphibian,5,,"frog, frog, newt, toad"
8,,,,,,,,,,,,,,,,,,,,,,,,Bug,6,,"flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp"
10,,,,,,,,,,,,,,,,,,,,,,,,Invertebrate,7,,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
